X2024.1	X2024.2	X2024.3	X2024.4	U3047	U3013	U3117	U3056	U3039	U3017	U3071	U3073	U3020	e12A
ENSG00000003756.17_RBM5	10.6543165165064	10.1661066827242	10.3437758811051	10.1163384150116	11.0774050179458	10.6966092796321	11.1701873509578	10.7627644162078	10.9091459071443	11.5545015932457	10.6868038608288	11.126549822321	10.6744998134731	10.0074253483964
ENSG00000003987.14_MTMR7	9.31987975128613	9.56750104887311	9.56050888345368	9.91525155702172	6.93349136261756	6.47530309789905	6.17591013055667	6.59344777995592	6.78669827719881	6.22586080415709	6.3447568195407	6.78097883361069	7.13602535158884	6.68976086192589
ENSG00000003989.18_SLC7A2	6.84375008074582	9.82694921021	8.49818028607003	9.12105302686794	7.75146948202488	6.69200222631688	6.05633982564	6.65703415218168	6.34734098166196	8.0441272742249	7.74687210794166	5.68284451378311	5.68284451378311	5.68284451378311
ENSG00000004059.11_ARF5	12.5691636781081	11.6207570611339	11.6274040437738	11.6173278687449	10.1185412887136	10.6317176004103	11.2467304692998	10.6878931934306	10.0558316390952	10.5910553332402	10.4797934207512	10.846478300265	11.1202264031443	10.6308267393701
ENSG00000004139.14_SARM1	8.91264423752727	9.06185332341173	9.23391613154344	9.10834205456939	10.6518684847488	10.1619222852101	10.5098858158628	10.479000482549	9.98575858636877	10.8200592668664	9.51110164317983	9.76916783992846	10.1587372745978	8.72723220036378
ENSG00000004142.12_POLDIP2	11.2039653410773	10.8844754445125	11.065223895732	10.9576283748337	10.984554508683	11.3014721732119	10.8436044095621	11.0702883331162	10.7168638343631	10.4220638784287	11.0428754151597	11.3832643752571	11.1779851887296	10.7613335404982
ENSG00000004399.13_PLXND1	10.5377646366707	10.3579290929811	10.2340037700119	10.8414613152944	11.0942397268057	11.208169752459	10.6541764699359	8.40636287320655	9.30338994931295	9.88549930871805	12.1005389568197	11.3409979198034	11.1925223970879	9.78263629487916
ENSG00000004455.17_AK2	9.0655915943976	9.38617720381196	8.95604924365368	9.49936514104791	10.4318905001101	10.9618407332872	10.6557269910191	10.6312374559251	10.8287963296469	10.3258680709272	10.8298536265138	11.0535370663171	11.2416957866528	11.6189975791878
ENSG00000004468.13_CD38	6.49812758798709	6.84939720164703	6.85231080168651	7.32285931956703	6.17831407884293	6.11640551871915	6.67184274111897	6.14377874981657	7.84210973942469	5.87582114587221	7.075723726899	7.35502882980867	6.16795874358624	6.37562059018994
ENSG00000004478.8_FKBP4	12.0699977576174	11.9901760148105	11.959031019319	11.5495898384222	10.2857608661896	10.6385093773835	10.3836004929394	11.2608943569718	10.9014384557735	10.1105051667861	11.81036119518	11.3932475062999	11.8994652969117	11.7615772908288
ENSG00000004487.17_KDM1A	10.3186536902329	10.3137574810004	10.4469904122345	10.2899087784744	10.9370724994158	10.4104656846206	11.0146196237679	11.5234858234102	10.7472866520791	11.6356441331954	11.0208731098061	11.584688137659	11.183453838964	11.1464038109369
ENSG00000004534.15_RBM6	10.3747302973065	9.93422349064456	9.72207680447731	9.65327032797151	11.1684755896348	11.2734015842115	10.8456431874714	10.4099249373731	11.4230762850111	11.4013498466039	10.5365452395743	10.5340834755908	10.7793816420378	10.2953362908318
ENSG00000004660.15_CAMKK1	12.20053146042	12.4903790077038	12.188637111093	12.3466549794111	7.16822919816963	6.70915319507894	6.98827217308397	6.93588735682342	7.03640352769303	6.84189614550061	7.34360653355081	7.19144854240236	7.34648100911934	7.64970048055786
ENSG00000004700.16_RECQL	7.6144594937967	8.22680305982969	7.91598427181883	8.10840365299998	9.95496716386923	10.8016864922057	9.88507251053485	9.94758632157679	9.75518118101547	9.88831278974853	11.5593824118495	10.8864743134758	11.0679623501624	10.5626730149262
ENSG00000004766.17_VPS50	9.76556872682317	9.71797739326714	9.8374891391641	9.86354112979632	8.58617930848292	8.86529092372439	8.89840719935748	8.93275555942924	9.49401800760937	8.97564555404507	9.32199371556806	8.3305446687348	8.66537733500872	8.73816766451939
ENSG00000004776.13_HSPB6	8.31126552927258	8.78863368493004	8.42873110111533	8.92090157684149	6.27381801549058	6.85046348792215	7.849574485293	6.29918841102047	7.77845483868518	6.19116002532065	7.70706514745018	6.44410519238012	7.59748909709768	6.18769995107971
